2023-10-20 03:05:59,490 | root | INFO | New connection <('127.0.0.1', 56343)>:S85 |(Server.py:61)
2023-10-20 03:05:59,491 | root | INFO | new Thread ('127.0.0.1', 56343) |(Server.py:106)
2023-10-20 03:06:11,777 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.7 4 -c 7 ) |(Server.py:162)
2023-10-20 03:07:23,601 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 03:07:32,134 | root | INFO | New connection <('127.0.0.1', 56383)>:S85 |(Server.py:61)
2023-10-20 03:07:32,134 | root | INFO | new Thread ('127.0.0.1', 56383) |(Server.py:106)
2023-10-20 03:07:45,615 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.1 53 -c 3 ) |(Server.py:163)
2023-10-20 03:09:13,340 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 03:09:13,340 | root | INFO | New connection <('127.0.0.1', 56438)>:S85 |(Server.py:61)
2023-10-20 03:09:13,341 | root | INFO | new Thread ('127.0.0.1', 56438) |(Server.py:106)
2023-10-20 03:09:31,189 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.1 43 -c 2 ) |(Server.py:160)
2023-10-20 03:10:08,840 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 03:10:14,103 | root | INFO | New connection <('127.0.0.1', 56458)>:S85 |(Server.py:61)
2023-10-20 03:10:14,103 | root | INFO | new Thread ('127.0.0.1', 56458) |(Server.py:106)
2023-10-20 03:10:31,385 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.1 54 -c 3) |(Server.py:161)
2023-10-20 03:11:18,682 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 03:11:19,055 | root | INFO | New connection <('127.0.0.1', 56488)>:S85 |(Server.py:61)
2023-10-20 03:11:19,056 | root | INFO | new Thread ('127.0.0.1', 56488) |(Server.py:106)
2023-10-20 03:11:30,948 | root | INFO | [/Broadcast] (/ddos-udp 125.0.0.1 23 -c 2 ) |(Server.py:161)
2023-10-20 03:12:22,128 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 03:12:32,230 | root | INFO | New connection <('127.0.0.1', 56521)>:S85 |(Server.py:61)
2023-10-20 03:12:32,230 | root | INFO | new Thread ('127.0.0.1', 56521) |(Server.py:106)
2023-10-20 03:12:45,527 | root | INFO | [/Broadcast] (/ddos-udp 123.1.1.1 1 -c 2 ) |(Server.py:160)
2023-10-20 03:13:23,344 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 03:13:26,234 | root | INFO | New connection <('127.0.0.1', 56544)>:S85 |(Server.py:61)
2023-10-20 03:13:26,234 | root | INFO | new Thread ('127.0.0.1', 56544) |(Server.py:106)
2023-10-20 03:13:39,116 | root | INFO | [/Broadcast] (/ddos-udp 121.1.1.1 1 -c 1 ) |(Server.py:160)
2023-10-20 03:14:20,769 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 03:14:46,208 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 03:14:48,327 | root | INFO | New connection <('127.0.0.1', 56573)>:S85 |(Server.py:61)
2023-10-20 03:14:48,328 | root | INFO | new Thread ('127.0.0.1', 56573) |(Server.py:106)
2023-10-20 03:15:00,208 | root | INFO | [/Broadcast] (/ddos-udp 121.1.1.1 1 -c 3 ) |(Server.py:161)
2023-10-20 03:16:53,736 | root | DEBUG | Console.Thread $Start |(Server.py:86)
2023-10-20 03:16:59,090 | root | INFO | New connection <('127.0.0.1', 56620)>:S85 |(Server.py:58)
2023-10-20 03:16:59,090 | root | INFO | new Thread ('127.0.0.1', 56620) |(Server.py:103)
2023-10-20 03:17:32,829 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 04:15:17,913 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 04:15:31,463 | root | INFO | New connection <('127.0.0.1', 56777)>:S85 |(Server.py:61)
2023-10-20 04:15:31,463 | root | INFO | new Thread ('127.0.0.1', 56777) |(Server.py:106)
2023-10-20 04:16:35,449 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 04:16:36,962 | root | INFO | New connection <('127.0.0.1', 56793)>:S85 |(Server.py:61)
2023-10-20 04:16:36,963 | root | INFO | new Thread ('127.0.0.1', 56793) |(Server.py:106)
2023-10-20 04:16:42,120 | root | WARNING | [Unknown input](.) |(Server.py:220)
2023-10-20 04:16:43,237 | root | WARNING | [Unknown input](.) |(Server.py:220)
2023-10-20 04:16:44,216 | root | WARNING | [Unknown input](.) |(Server.py:220)
2023-10-20 04:17:47,493 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 04:17:54,046 | root | INFO | New connection <('127.0.0.1', 56829)>:S85 |(Server.py:61)
2023-10-20 04:17:54,047 | root | INFO | new Thread ('127.0.0.1', 56829) |(Server.py:107)
2023-10-20 04:18:09,490 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.1 77 -c 7 ) |(Server.py:162)
